model,sample_idx,ablation_method,amplification_method,prompt_lang,adj_lang,intervention_lang,measure_lang,target_word,adjective,prompt,base_word,baseline_adj_rank,intervened_adj_rank,baseline_target_rank,intervened_target_rank,baseline_target_logit,intervened_target_logit,delta_target_logit,baseline_target_minus_base,intervened_target_minus_base,delta_target_minus_base,amplification_outside_ablation_scale
gemma-2-2b,0,desc,desc,fr,en,de,de,schlecht,good,"Le contraire de ""good"" est """,bad,0,0,308,308,12.9375,12.9375,0.0,-11.6875,-11.6875,0.0,2.0
gemma-2-2b,0,desc,desc,fr,en,de,en,bad,good,"Le contraire de ""good"" est """,bad,0,0,0,0,24.625,24.625,0.0,0.0,0.0,0.0,2.0
gemma-2-2b,0,desc,desc,fr,en,de,es,malo,good,"Le contraire de ""good"" est """,bad,0,0,36,36,16.625,16.625,0.0,-8.0,-8.0,0.0,2.0
gemma-2-2b,0,desc,desc,fr,en,de,fr,mauvais,good,"Le contraire de ""good"" est """,bad,0,0,16,16,17.75,17.75,0.0,-6.875,-6.875,0.0,2.0
gemma-2-2b,0,desc,desc,fr,en,de,ja,悪い,good,"Le contraire de ""good"" est """,bad,0,0,951,951,11.1875,11.1875,0.0,-13.4375,-13.4375,0.0,2.0
gemma-2-2b,0,desc,desc,fr,en,de,ko,나쁜,good,"Le contraire de ""good"" est """,bad,0,0,6634,6634,7.5625,7.5625,0.0,-17.0625,-17.0625,0.0,2.0
gemma-2-2b,0,desc,desc,fr,en,de,zh,坏,good,"Le contraire de ""good"" est """,bad,0,0,180,180,13.75,13.75,0.0,-10.875,-10.875,0.0,2.0
gemma-2-2b,0,desc,val,fr,en,de,de,schlecht,good,"Le contraire de ""good"" est """,bad,0,0,308,364,12.9375,9.0625,-3.875,-11.6875,-14.6875,-3.0,2.0
gemma-2-2b,0,desc,val,fr,en,de,en,bad,good,"Le contraire de ""good"" est """,bad,0,0,0,0,24.625,23.75,-0.875,0.0,0.0,0.0,2.0
gemma-2-2b,0,desc,val,fr,en,de,es,malo,good,"Le contraire de ""good"" est """,bad,0,0,36,27,16.625,13.75,-2.875,-8.0,-10.0,-2.0,2.0
gemma-2-2b,0,desc,val,fr,en,de,fr,mauvais,good,"Le contraire de ""good"" est """,bad,0,0,16,9,17.75,15.5,-2.25,-6.875,-8.25,-1.375,2.0
gemma-2-2b,0,desc,val,fr,en,de,ja,悪い,good,"Le contraire de ""good"" est """,bad,0,0,951,446,11.1875,8.8125,-2.375,-13.4375,-14.9375,-1.5,2.0
gemma-2-2b,0,desc,val,fr,en,de,ko,나쁜,good,"Le contraire de ""good"" est """,bad,0,0,6634,5453,7.5625,4.4375,-3.125,-17.0625,-19.3125,-2.25,2.0
gemma-2-2b,0,desc,val,fr,en,de,zh,坏,good,"Le contraire de ""good"" est """,bad,0,0,180,111,13.75,11.0,-2.75,-10.875,-12.75,-1.875,2.0
gemma-2-2b,0,desc,freq,fr,en,de,de,schlecht,good,"Le contraire de ""good"" est """,bad,0,0,308,185,12.9375,11.0625,-1.875,-11.6875,-10.0625,1.625,2.0
gemma-2-2b,0,desc,freq,fr,en,de,en,bad,good,"Le contraire de ""good"" est """,bad,0,0,0,0,24.625,21.125,-3.5,0.0,0.0,0.0,2.0
gemma-2-2b,0,desc,freq,fr,en,de,es,malo,good,"Le contraire de ""good"" est """,bad,0,0,36,56,16.625,12.375,-4.25,-8.0,-8.75,-0.75,2.0
gemma-2-2b,0,desc,freq,fr,en,de,fr,mauvais,good,"Le contraire de ""good"" est """,bad,0,0,16,5,17.75,15.5,-2.25,-6.875,-5.625,1.25,2.0
gemma-2-2b,0,desc,freq,fr,en,de,ja,悪い,good,"Le contraire de ""good"" est """,bad,0,0,951,4796,11.1875,6.375,-4.8125,-13.4375,-14.75,-1.3125,2.0
gemma-2-2b,0,desc,freq,fr,en,de,ko,나쁜,good,"Le contraire de ""good"" est """,bad,0,0,6634,2701,7.5625,7.3125,-0.25,-17.0625,-13.8125,3.25,2.0
gemma-2-2b,0,desc,freq,fr,en,de,zh,坏,good,"Le contraire de ""good"" est """,bad,0,0,180,1106,13.75,8.75,-5.0,-10.875,-12.375,-1.5,2.0
gemma-2-2b,0,val,desc,fr,en,de,de,schlecht,good,"Le contraire de ""good"" est """,bad,0,0,308,3,12.9375,20.0,7.0625,-11.6875,-2.625,9.0625,2.0
gemma-2-2b,0,val,desc,fr,en,de,en,bad,good,"Le contraire de ""good"" est """,bad,0,0,0,0,24.625,22.625,-2.0,0.0,0.0,0.0,2.0
gemma-2-2b,0,val,desc,fr,en,de,es,malo,good,"Le contraire de ""good"" est """,bad,0,0,36,3685,16.625,9.875,-6.75,-8.0,-12.75,-4.75,2.0
gemma-2-2b,0,val,desc,fr,en,de,fr,mauvais,good,"Le contraire de ""good"" est """,bad,0,0,16,115,17.75,15.375,-2.375,-6.875,-7.25,-0.375,2.0
gemma-2-2b,0,val,desc,fr,en,de,ja,悪い,good,"Le contraire de ""good"" est """,bad,0,0,951,1947,11.1875,10.9375,-0.25,-13.4375,-11.6875,1.75,2.0
gemma-2-2b,0,val,desc,fr,en,de,ko,나쁜,good,"Le contraire de ""good"" est """,bad,0,0,6634,7516,7.5625,8.4375,0.875,-17.0625,-14.1875,2.875,2.0
gemma-2-2b,0,val,desc,fr,en,de,zh,坏,good,"Le contraire de ""good"" est """,bad,0,0,180,134,13.75,15.25,1.5,-10.875,-7.375,3.5,2.0
gemma-2-2b,0,val,val,fr,en,de,de,schlecht,good,"Le contraire de ""good"" est """,bad,0,0,308,341,12.9375,14.125,1.1875,-11.6875,-11.75,-0.0625,2.0
gemma-2-2b,0,val,val,fr,en,de,en,bad,good,"Le contraire de ""good"" est """,bad,0,0,0,0,24.625,25.875,1.25,0.0,0.0,0.0,2.0
gemma-2-2b,0,val,val,fr,en,de,es,malo,good,"Le contraire de ""good"" est """,bad,0,0,36,48,16.625,17.625,1.0,-8.0,-8.25,-0.25,2.0
gemma-2-2b,0,val,val,fr,en,de,fr,mauvais,good,"Le contraire de ""good"" est """,bad,0,0,16,16,17.75,19.125,1.375,-6.875,-6.75,0.125,2.0
