model,sample_idx,ablation_method,amplification_method,prompt_lang,adj_lang,adjective,prompt,tracked_target,baseline_adj_rank,combined_adj_rank,baseline_target_logit,combined_target_logit,delta_combined_logit
gemma-2-2b,0,desc,desc,zh,de,gut,"""gut""的反义词是""",schlecht,849,849,14.875,14.875,0.0
gemma-2-2b,0,desc,val,zh,de,gut,"""gut""的反义词是""",schlecht,849,1170,14.875,12.9375,-1.9375
gemma-2-2b,0,desc,freq,zh,de,gut,"""gut""的反义词是""",schlecht,849,201,14.875,14.875,0.0
gemma-2-2b,0,val,desc,zh,de,gut,"""gut""的反义词是""",schlecht,849,3,14.875,21.25,6.375
gemma-2-2b,0,val,val,zh,de,gut,"""gut""的反义词是""",schlecht,849,1058,14.875,15.5,0.625
gemma-2-2b,0,val,freq,zh,de,gut,"""gut""的反义词是""",schlecht,849,8,14.875,19.75,4.875
gemma-2-2b,0,freq,desc,zh,de,gut,"""gut""的反义词是""",schlecht,849,1103,14.875,14.6875,-0.1875
gemma-2-2b,0,freq,val,zh,de,gut,"""gut""的反义词是""",schlecht,849,1209,14.875,12.625,-2.25
gemma-2-2b,0,freq,freq,zh,de,gut,"""gut""的反义词是""",schlecht,849,1011,14.875,14.75,-0.125
gemma-2-2b,1,desc,desc,zh,de,glücklich,"""glücklich""的反义词是""",unglücklich,12,27,17.375,16.0,-1.375
gemma-2-2b,1,desc,val,zh,de,glücklich,"""glücklich""的反义词是""",unglücklich,12,32,17.375,14.9375,-2.4375
gemma-2-2b,1,desc,freq,zh,de,glücklich,"""glücklich""的反义词是""",unglücklich,12,40,17.375,13.625,-3.75
gemma-2-2b,1,val,desc,zh,de,glücklich,"""glücklich""的反义词是""",unglücklich,12,2,17.375,18.625,1.25
gemma-2-2b,1,val,val,zh,de,glücklich,"""glücklich""的反义词是""",unglücklich,12,20,17.375,17.5,0.125
gemma-2-2b,1,val,freq,zh,de,glücklich,"""glücklich""的反义词是""",unglücklich,12,12,17.375,16.5,-0.875
gemma-2-2b,1,freq,desc,zh,de,glücklich,"""glücklich""的反义词是""",unglücklich,12,28,17.375,16.5,-0.875
gemma-2-2b,1,freq,val,zh,de,glücklich,"""glücklich""的反义词是""",unglücklich,12,41,17.375,14.5625,-2.8125
gemma-2-2b,1,freq,freq,zh,de,glücklich,"""glücklich""的反义词是""",unglücklich,12,36,17.375,16.125,-1.25
gemma-2-2b,2,desc,desc,zh,de,groß,"""groß""的反义词是""",klein,39,39,14.5,14.5,0.0
gemma-2-2b,2,desc,val,zh,de,groß,"""groß""的反义词是""",klein,39,45,14.5,13.0625,-1.4375
gemma-2-2b,2,desc,freq,zh,de,groß,"""groß""的反义词是""",klein,39,17,14.5,13.625,-0.875
gemma-2-2b,2,val,desc,zh,de,groß,"""groß""的反义词是""",klein,39,1,14.5,20.375,5.875
gemma-2-2b,2,val,val,zh,de,groß,"""groß""的反义词是""",klein,39,34,14.5,16.25,1.75
gemma-2-2b,2,val,freq,zh,de,groß,"""groß""的反义词是""",klein,39,0,14.5,19.125,4.625
gemma-2-2b,2,freq,desc,zh,de,groß,"""groß""的反义词是""",klein,39,46,14.5,14.125,-0.375
gemma-2-2b,2,freq,val,zh,de,groß,"""groß""的反义词是""",klein,39,48,14.5,12.75,-1.75
gemma-2-2b,2,freq,freq,zh,de,groß,"""groß""的反义词是""",klein,39,48,14.5,14.25,-0.25
gemma-2-2b,3,desc,desc,zh,de,heiß,"""heiß""的反义词是""",kalt,0,2,19.125,17.875,-1.25
gemma-2-2b,3,desc,val,zh,de,heiß,"""heiß""的反义词是""",kalt,0,10,19.125,15.5625,-3.5625
gemma-2-2b,3,desc,freq,zh,de,heiß,"""heiß""的反义词是""",kalt,0,1,19.125,15.25,-3.875
gemma-2-2b,3,val,desc,zh,de,heiß,"""heiß""的反义词是""",kalt,0,0,19.125,20.625,1.5
gemma-2-2b,3,val,val,zh,de,heiß,"""heiß""的反义词是""",kalt,0,2,19.125,19.75,0.625
gemma-2-2b,3,val,freq,zh,de,heiß,"""heiß""的反义词是""",kalt,0,1,19.125,18.375,-0.75
gemma-2-2b,3,freq,desc,zh,de,heiß,"""heiß""的反义词是""",kalt,0,3,19.125,17.875,-1.25
gemma-2-2b,3,freq,val,zh,de,heiß,"""heiß""的反义词是""",kalt,0,4,19.125,16.375,-2.75
gemma-2-2b,3,freq,freq,zh,de,heiß,"""heiß""的反义词是""",kalt,0,2,19.125,18.125,-1.0
gemma-2-2b,4,desc,desc,zh,de,schnell,"""schnell""的反义词是""",langsam,5,21,18.375,16.75,-1.625
gemma-2-2b,4,desc,val,zh,de,schnell,"""schnell""的反义词是""",langsam,5,46,18.375,14.75,-3.625
gemma-2-2b,4,desc,freq,zh,de,schnell,"""schnell""的反义词是""",langsam,5,4,18.375,16.75,-1.625
gemma-2-2b,4,val,desc,zh,de,schnell,"""schnell""的反义词是""",langsam,5,0,18.375,21.0,2.625
gemma-2-2b,4,val,val,zh,de,schnell,"""schnell""的反义词是""",langsam,5,24,18.375,17.75,-0.625
gemma-2-2b,4,val,freq,zh,de,schnell,"""schnell""的反义词是""",langsam,5,1,18.375,20.375,2.0
gemma-2-2b,4,freq,desc,zh,de,schnell,"""schnell""的反义词是""",langsam,5,36,18.375,16.25,-2.125
gemma-2-2b,4,freq,val,zh,de,schnell,"""schnell""的反义词是""",langsam,5,54,18.375,14.5625,-3.8125
gemma-2-2b,4,freq,freq,zh,de,schnell,"""schnell""的反义词是""",langsam,5,31,18.375,16.5,-1.875
